indicator,area_name,area_code,area_type,year,period,numerator,measure,lower_confidence_interval,upper_confidence_interval,definition,data_source
S4 boys mean mental wellbeing score,Scotland,S00000001,Scotland,2012,2010-2013 combined survey years,16409,50.51,50.37,50.65,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Aberdeen City,S12000033,Council area,2012,2010-2013 combined survey years,603,49.17,48.42,49.92,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Aberdeenshire,S12000034,Council area,2012,2010-2013 combined survey years,828,50.24,49.63,50.86,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Angus,S12000041,Council area,2012,2010-2013 combined survey years,361,50.05,49.2,50.91,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Argyll & Bute,S12000035,Council area,2012,2010-2013 combined survey years,266,50.16,48.98,51.34,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,City of Edinburgh,S12000036,Council area,2012,2010-2013 combined survey years,1296,50.81,50.34,51.28,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Clackmannanshire,S12000005,Council area,2012,2010-2013 combined survey years,168,49.36,47.83,50.89,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Dumfries & Galloway,S12000006,Council area,2012,2010-2013 combined survey years,483,50.5,49.69,51.32,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Dundee City,S12000042,Council area,2012,2010-2013 combined survey years,409,50.18,49.31,51.05,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,East Ayrshire,S12000008,Council area,2012,2010-2013 combined survey years,403,50.43,49.53,51.33,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,East Dunbartonshire,S12000045,Council area,2012,2010-2013 combined survey years,395,51.22,50.37,52.08,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,East Lothian,S12000010,Council area,2012,2010-2013 combined survey years,311,50.4,49.43,51.37,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,East Renfrewshire,S12000011,Council area,2012,2010-2013 combined survey years,407,51.14,50.22,52.05,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Falkirk,S12000014,Council area,2012,2010-2013 combined survey years,453,51.62,50.84,52.4,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Fife,S12000047,Council area,2012,2010-2013 combined survey years,1137,50.43,49.91,50.95,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Glasgow City,S12000049,Council area,2012,2010-2013 combined survey years,1458,50.54,50.07,51.01,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Highland,S12000017,Council area,2012,2010-2013 combined survey years,827,50.97,50.44,51.51,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Inverclyde,S12000018,Council area,2012,2010-2013 combined survey years,230,50.29,49.01,51.58,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Midlothian,S12000019,Council area,2012,2010-2013 combined survey years,275,49.2,48.17,50.23,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Moray,S12000020,Council area,2012,2010-2013 combined survey years,315,50.37,49.36,51.38,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Na h-Eileanan Siar,S12000013,Council area,2012,2010-2013 combined survey years,92,50.72,49.12,52.32,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,North Ayrshire,S12000021,Council area,2012,2010-2013 combined survey years,439,50.55,49.74,51.37,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,North Lanarkshire,S12000050,Council area,2012,2010-2013 combined survey years,1073,50.91,50.36,51.45,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Orkney Islands,S12000023,Council area,2012,2010-2013 combined survey years,76,49.87,48.08,51.67,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
S4 boys mean mental wellbeing score,Perth & Kinross,S12000048,Council area,2012,2010-2013 combined survey years,529,51.22,50.5,51.95,Mean,Scottish Schools Adolescent Lifestyle and Substance Use Survey (SALSUS)
